T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
73.0,0.10755095383824373,0.055,-2.9103830456733704e-10,6.913580818945775e-12
74.0,0.10751502694453707,0.055,-2.9103830456733704e-10,-4.2552628087833e-12
75.0,0.10747731437977553,0.055,-5.820766091346741e-11,-8.073541835074138e-12
76.0,0.10743775260676836,0.055,2.9103830456733704e-10,5.976108496952293e-12
77.0,0.10739627809134605,0.055,-4.0745362639427185e-10,-2.3447910280083306e-12
78.0,0.1073528271924605,0.055,-1.7462298274040222e-10,-8.970602038971265e-14
79.0,0.10730733631718613,0.055,-3.4924596548080444e-10,5.217604126528386e-12
80.0,0.10725974175906966,0.055,-2.0372681319713593e-10,6.376232875027199e-12
81.0,0.10720997977149019,0.055,-8.731149137020111e-11,1.623856604737739e-11
82.0,0.10715798645258331,0.055,2.6193447411060333e-10,-1.91580085129317e-11
83.0,0.1071036977080695,0.055,-5.820766091346741e-11,-1.2501111257279263e-12
84.0,0.10704704922387936,0.055,-2.9103830456733704e-11,7.142286762018557e-12
85.0,0.106987976445303,0.055,2.9103830456733704e-11,3.4365843504247096e-11
85.99999999999999,0.10692641445619107,0.055,5.820766091346741e-11,1.0880185641326534e-13
86.99999999999999,0.1068622979280929,0.055,1.1641532182693481e-10,2.616129535226719e-12
88.0,0.10679556112556017,0.055,2.9103830456733704e-11,-1.1535217225855376e-11
89.0,0.10672613778701946,0.055,2.9103830456733704e-11,4.2950087930648806e-12
90.0,0.10665396115409942,0.055,-8.731149137020111e-11,4.812816811750054e-12
91.0,0.10657896380590572,0.055,1.1641532182693481e-10,-2.143174526736402e-12
92.0,0.1065010776847143,0.055,-2.9103830456733704e-11,7.26818605301105e-12
93.0,0.10642023402334987,0.055,5.820766091346741e-11,-2.0092372210456233e-11
94.0,0.10633636335845222,0.055,5.820766091346741e-11,1.2609024935272828e-11
95.0,0.10624939523183352,0.055,1.7462298274040222e-10,1.2246426095430252e-11
96.0,0.10615925853962928,0.055,-2.9103830456733704e-11,1.376365688088299e-11
97.0,0.10606588109491735,0.055,0.0,-1.678279737404864e-11
98.0,0.10596918972434156,0.055,-1.4551915228366852e-10,8.947065310849212e-12
99.0,0.10586911029869915,0.055,-1.7462298274040222e-10,-1.5387913165909595e-11
100.0,0.10576556750081728,0.055,5.820766091346741e-11,-2.8133051444001467e-13
101.0,0.1056584848793181,0.055,-4.3655745685100555e-11,-7.226219622680219e-12
101.99999999999999,0.10554778471171933,0.055,2.9103830456733704e-11,2.03919103825001e-11
102.99999999999999,0.10543338797362048,0.055,0.0,1.0069500788745245e-11
104.0,0.10531521428715224,0.055,-1.4551915228366852e-11,-2.165712054136293e-11
105.0,0.10519318177615755,0.055,-1.4551915228366852e-11,-1.554267825554234e-11
106.0,0.1050672070419105,0.055,2.9103830456733704e-11,-7.856604256062383e-12
107.0,0.10493720502775798,0.055,4.3655745685100555e-11,-7.120082301526054e-12
108.0,0.10480308907433307,0.055,-7.275957614183426e-11,-2.282574129708337e-11
109.0,0.10466477060028768,0.055,-2.9103830456733704e-11,2.194311399250637e-11
110.0,0.10452215917934263,0.055,-4.3655745685100555e-11,-2.5000890246928975e-11
111.0,0.1043751623988725,0.055,4.3655745685100555e-11,-4.6918025020659115e-12
112.0,0.10422368576900273,0.055,-1.4551915228366852e-11,9.46909217702796e-13
113.0,0.10406763251707661,0.055,-1.4551915228366852e-11,-2.587541292342621e-11
114.0,0.10390690364435501,0.055,1.1641532182693481e-10,-3.779421220428958e-12
115.0,0.1037413975794394,0.055,0.0,1.3566037182499713e-11
116.0,0.10357101033398015,0.055,0.0,3.577027563039792e-12
117.0,0.10339563508841994,0.055,5.820766091346741e-11,-6.230571614196379e-13
117.99999999999999,0.10321516222116452,0.055,7.275957614183426e-11,7.67730323758542e-12
118.99999999999999,0.10302947915121966,0.055,4.3655745685100555e-11,6.104006189389111e-13
120.0,0.10283847005499246,0.055,0.0,1.1336931393657323e-11
121.0,0.10264201587382937,0.055,0.0,-5.5071502913506265e-12
122.0,0.10243999402261914,0.055,8.731149137020111e-11,1.6215917497675036e-12
123.0,0.10223227832918513,0.055,-5.820766091346741e-11,-2.841349378002178e-11
124.0,0.10201873863456427,0.055,-1.4551915228366852e-11,-1.928013304564047e-11
125.0,0.10179924076311496,0.055,1.4551915228366852e-11,-1.6414092307570627e-11
126.0,0.1015736462632379,0.055,0.0,-2.3369195467637383e-11
127.0,0.10134181216245616,0.055,7.275957614183426e-12,-1.1182943460141814e-11
128.0,0.10110359072311556,0.055,7.275957614183426e-12,-2.3320456676856338e-11
129.0,0.10085882922007298,0.055,4.3655745685100555e-11,1.0038525566358203e-11
130.0,0.1006073695482964,0.055,2.9103830456733704e-11,1.5973999900609215e-11
131.0,0.10034904814163349,0.055,5.820766091346741e-11,2.2137180977210846e-11
132.0,0.10008369542860424,0.055,-2.1827872842550278e-11,3.619926580711308e-11
133.0,0.09981113569338204,0.055,0.0,-9.656719868189612e-13
134.0,0.09953118652804403,0.055,-2.9103830456733704e-11,-5.277112080648294e-12
135.0,0.09924365864348901,0.055,-7.275957614183426e-12,-1.2879919353281366e-11
136.0,0.09894835534605352,0.055,0.0,1.6004975122996257e-12
137.0,0.09864507213168039,0.055,-3.637978807091713e-11,7.809974889028126e-12
138.0,0.09833359622698312,0.055,-7.275957614183426e-12,8.4213747086892e-12
139.0,0.09801370604326569,0.055,-2.9103830456733704e-11,-2.1516122217235534e-13
140.0,0.09768517059192589,0.055,5.093170329928398e-11,-7.616129948928574e-13
140.99999999999997,0.09734774917412078,0.055,0.0,-9.085399099717506e-12
141.99999999999997,0.09700119031295686,0.055,-1.4551915228366852e-11,7.979505944888388e-12
142.99999999999997,0.09664523134921178,0.055,-1.4551915228366852e-11,3.3683056344102624e-12
144.0,0.09627959773094102,0.055,7.275957614183426e-12,-7.652989353346129e-12
145.0,0.0959040020678069,0.055,5.093170329928398e-11,4.559241872925668e-12
146.0,0.09551814308831476,0.055,3.637978807091713e-11,9.104716980345984e-12
147.0,0.09512170530289697,0.055,2.9103830456733704e-11,-1.1581069436772395e-11
