source,T_MeV,sigma_GeV3,free_energy,residual_norm
bk_s_curve,114.5425527292605,-0.013432844267601343,-0.0008984499534242705,1.0070971834252873e-12
bk_s_curve,114.28443676268216,-0.01348413380553166,-0.0009159229603893757,3.959887973081777e-13
bk_s_curve,114.02784618496686,-0.013534714360631304,-0.0009334958405382985,1.2651546477115971e-12
bk_s_curve,113.77277228705664,-0.01358459715196135,-0.0009511660336374651,1.1799450305716164e-12
bk_s_curve,113.51920629342625,-0.013633793211003874,-0.0009689309902152134,1.4734047315556609e-12
bk_s_curve,113.2671393671973,-0.013682313384530957,-0.0009867881722809796,1.1328993299031254e-12
bk_s_curve,113.01656261510777,-0.01373016833745185,-0.001004735054011852,2.762942652445588e-12
bk_s_curve,112.76746709232435,-0.013777368555630911,-0.0010227691224053486,1.9728246813954797e-12
bk_s_curve,112.51984380711275,-0.01382392434868154,-0.001040887877901557,1.7920664951986964e-12
bk_s_curve,112.27368372535977,-0.0138698458527314,-0.0010590888349741314,1.7761903059465567e-12
bk_s_curve,112.02897777495066,-0.01391514303316013,-0.0010773695226914575,4.082845173059013e-13
bk_s_curve,111.78571685001086,-0.013959825687310322,-0.0010957274852495841,7.194800311083327e-13
bk_s_curve,111.54389181500714,-0.014003903447169463,-0.001114160282477156,1.1960710200042968e-12
bk_s_curve,111.30349350871305,-0.014047385782022647,-0.001132665490313445,1.2663203818874536e-12
bk_s_curve,111.06451274804037,-0.014090282001076192,-0.0011512407012602662,1.0161316232881745e-12
bk_s_curve,110.82694033174309,-0.014132601256052032,-0.0011698835248092774,1.3277989818760716e-12
bk_s_curve,110.59076704399409,-0.014174352543753429,-0.0011885915878448552,1.5894230376289897e-12
bk_s_curve,110.3559836578296,-0.01421554470859729,-0.0012073625350230096,1.0999812172229895e-12
bk_s_curve,110.1225809384813,-0.014256186445120188,-0.001226194029128753,3.003250426125703e-12
bk_s_curve,109.89054964658251,-0.014296286300451851,-0.0012450837514112025,1.7077866898418392e-12
bk_s_curve,109.65988054125788,-0.01433585267675782,-0.001264029401897478,1.6775331124208037e-12
bk_s_curve,109.43056438309995,-0.014374893833652235,-0.0012830286996869454,9.635625630721734e-13
bk_s_curve,109.20259193703217,-0.014413417890578909,-0.001302079383225529,8.329725798006393e-13
bk_s_curve,108.97595397506532,-0.014451432829162416,-0.0013211792105615688,2.5171115192179627e-12
bk_s_curve,108.75064127894348,-0.014488946495526865,-0.0013403259595834223,1.3785639296770569e-12
bk_s_curve,108.526644642691,-0.014525966602585177,-0.0013595174282401037,1.2869150189942502e-12
bk_s_curve,108.30395487505422,-0.014562500732296096,-0.0013787514347449114,1.8796353362660057e-12
bk_s_curve,108.08256280184294,-0.014598556337889517,-0.0013980258177626818,1.4915291224326666e-12
bk_s_curve,107.86245926818481,-0.014634140746064167,-0.0014173384365829514,4.1783243531767766e-13
bk_s_curve,107.64363514067041,-0.014669261159148298,-0.0014366871712762105,2.974176460668332e-12
bk_s_curve,107.42608130942355,-0.014703924657236127,-0.0014560699228380104,6.435962873752032e-13
bk_s_curve,107.2097886900742,-0.01473813820028992,-0.001475484613318714,3.909927936973645e-13
bk_s_curve,106.99474822564194,-0.014771908630209694,-0.0014949291859389147,2.4896751327219135e-13
bk_s_curve,106.7809508883448,-0.014805242672876957,-0.0015144016051945697,2.1171120412333266e-12
bk_s_curve,106.56838768131817,-0.014838146940163855,-0.0015338998569479156,1.2249368186445508e-12
bk_s_curve,106.35704964026192,-0.014870627931915459,-0.0015534219485088892,1.4403478409974468e-12
bk_s_curve,106.14692783500026,-0.014902692037897285,-0.0015729659087031817,4.86471973815128e-13
bk_s_curve,105.93801337098074,-0.014934345539719358,-0.001592529787932157,1.200539667678413e-12
bk_s_curve,105.7302973906884,-0.014965594612724611,-0.001612111658220631,2.333550019884001e-12
bk_s_curve,105.52377107499711,-0.014996445327851146,-0.0016317096132563603,1.048106046397379e-12
bk_s_curve,105.31842564444705,-0.015026903653463129,-0.0016513217684186016,3.573197293604835e-12
bk_s_curve,105.11425236046578,-0.015056975457156244,-0.0016709462608005606,7.876532759354404e-12
bk_s_curve,104.91124252651187,-0.015086666507528806,-0.0016905812492198863,4.267752817810333e-12
bk_s_curve,104.70938748916845,-0.015115982475929463,-0.0017102249142237963,1.1743939154484906e-12
bk_s_curve,104.50867863917242,-0.015144928938174517,-0.0017298754580853172,1.1690648449302898e-12
bk_s_curve,104.30910741238237,-0.015173511376236196,-0.0017495311047923579,9.742484596841905e-13
bk_s_curve,104.11066529069561,-0.01520173517990484,-0.00176919010002932,1.935257509799726e-12
bk_s_curve,103.91334380290877,-0.01522960564842365,-0.001788850711152685,2.8211044611481384e-12
bk_s_curve,103.71713452552578,-0.015257127992095105,-0.001808511227159593,4.059474978390654e-12
bk_s_curve,103.52202908351413,-0.015284307333861097,-0.0018281699586507403,4.6616599469473385e-12
bk_s_curve,103.32801915101425,-0.015311148710856549,-0.0018478252377869292,4.469480341384724e-13
bk_s_curve,103.13509645200199,-0.015337657075937856,-0.0018674754182406799,6.604994329251213e-13
bk_s_curve,102.94325276090102,-0.015363837299182618,-0.0018871188751418786,3.253147751181018e-12
bk_s_curve,102.75247990315728,-0.015389694169366877,-0.0019067540050191842,5.039968442588361e-12
bk_s_curve,102.5627697557659,-0.015415232395414974,-0.0019263792257358215,4.14560052952595e-12
bk_s_curve,102.37411424775911,-0.015440456607824778,-0.0019459929764211311,1.8111345756466335e-12
bk_s_curve,102.18650536065743,-0.015465371360070078,-0.001965593717398466,1.7920109840474652e-12
bk_s_curve,101.99993512887708,-0.015489981129975692,-0.0019851799301078476,5.519196211167809e-13
bk_s_curve,101.81439564010321,-0.015514290321069673,-0.0020047501170250507,2.751660010957835e-12
bk_s_curve,101.62987903563183,-0.015538303263914048,-0.002024302801577892,1.8598178552764466e-12
bk_s_curve,101.44637751067036,-0.015562024217408436,-0.002043836528057585,3.4386105074446505e-12
bk_s_curve,101.26388331461138,-0.015585457370073285,-0.002063349861527872,5.5172255652991e-12
bk_s_curve,101.08238875127368,-0.015608606841310244,-0.0020828413877305896,1.883437850125347e-12
bk_s_curve,100.90188617910978,-0.015631476682638444,-0.0021023097129878945,1.2198853038825064e-12
bk_s_curve,100.72236801138897,-0.0156540708789106,-0.0021217534641024514,8.772704784831831e-13
bk_s_curve,100.5438267163488,-0.015676393349506088,-0.0021411712882540043,1.8646195698579504e-12
bk_s_curve,100.36625481732406,-0.015698447949504396,-0.0021605618528946504,2.6939284136773267e-12
bk_s_curve,100.18964489284332,-0.015720238470834383,-0.002179923845640119,1.1675105326958146e-12
bk_s_curve,100.01398957670895,-0.01574176864340683,-0.0021992559741604184,1.7341128533132633e-12
bk_s_curve,99.83928155804611,-0.01576304213622288,-0.002218556966067092,3.481659405224491e-13
bk_s_curve,99.66551358133397,-0.015784062558464627,-0.002237825568799319,1.2362610934957274e-12
bk_s_curve,99.4926784464135,-0.015804833460565396,-0.0022570605495076633,1.1953493750382904e-12
bk_s_curve,99.32076900847494,-0.01582535833526059,-0.002276260694936367,2.387007258519702e-12
bk_s_curve,99.14977817802237,-0.01584564061861822,-0.0022954248113031977,6.588063428125679e-13
bk_s_curve,98.97969892082516,-0.01586568369105267,-0.002314551724179286,1.178557251790835e-12
bk_s_curve,98.81052425784628,-0.015885490878318812,-0.0023336402783657503,5.835887328942135e-13
bk_s_curve,98.64224726515451,-0.015905065452487415,-0.0023526893377701693,8.567591081032333e-13
