T_MeV,stable_sigma_GeV3,stable_free_energy,candidate_count,sigma_branch1_GeV3,free_energy_branch1,sigma_branch2_GeV3,free_energy_branch2,sigma_branch3_GeV3,free_energy_branch3,sigma_branch4_GeV3,free_energy_branch4,sigma_branch5_GeV3,free_energy_branch5,sigma_branch6_GeV3,free_energy_branch6,sigma_branch7_GeV3,free_energy_branch7,sigma_branch8_GeV3,free_energy_branch8,sigma_branch9_GeV3,free_energy_branch9
161.0,0.07269783184560084,-0.0056239541726160565,2.0,-2.1347558141172795e-112,1.7045481169958035e-225,4.317600848636712e-111,4.591589504570655e-223,4.845133802566359e-114,-7.554984657340327e-229,-1.3094373253e-314,0.0,0.0,0.0,-3.166060276e-315,0.0,2.0881150642091666e-112,-2.930901042489707e-225,0.07269783184559579,-0.005623954172614291,0.07269783184560084,-0.0056239541726160565
162.0,0.07181724660804899,-0.005095498657243712,2.0,1.8088505816880397e-124,-1.5387246889274823e-249,-4.203598039724002e-123,8.87493523488944e-248,-5.8631963041620595e-126,5.0332333729872895e-253,3.1710977497e-314,0.0,0.0,0.0,7.59244353e-315,0.0,-2.4157375330453117e-124,-2.2613714068110042e-250,0.07181724660804592,-0.0050954986572431926,0.07181724660804899,-0.005095498657243712
163.0,0.07089318811419713,-0.0045824544357477015,2.0,-6.895647460462825e-137,1.5693533622889679e-274,1.082216290946059e-135,1.7279838573452318e-271,1.9543988193139205e-138,-3.6213411405302037e-277,-7.682376062e-314,0.0,0.0,0.0,-1.842932972e-314,0.0,1.2368896670877062e-136,-3.840014305630623e-274,0.07089318811419713,-0.0045824544357477015,0.07089318811419526,-0.004582454435747321
164.0,0.06992127438062147,-0.00408497856959045,2.0,6.562760177303152e-149,2.246125232721192e-300,-1.319278346347863e-147,-4.394066476204717e-297,-2.2772564738612806e-150,-3.7344004485742277e-302,2.7150777673e-314,0.0,0.0,0.0,4.5116758e-314,0.0,-9.923612089793605e-149,1.6051281120498823e-299,0.06992127438061792,-0.004084978569588669,0.06992127438062147,-0.00408497856959045
165.0,0.06889629439166398,-0.0036032677814512785,2.0,-4.469907892977534e-162,-5.0e-324,-3.5332541626590916e-161,-2.307e-321,1.4001799784088339e-164,0.0,-6.558537219e-314,0.0,0.0,0.0,5.2827571083e-314,0.0,1.5127277785780773e-161,-1.0e-323,0.06889629439166407,-0.003603267781450955,0.06889629439166398,-0.0036032677814512785
166.0,0.06781196527228422,-0.0031375651073522947,2.0,2.875698900505739e-174,0.0,6.128072984457581e-173,0.0,3.280880406428571e-175,0.0,-5.199039387e-315,0.0,0.0,0.0,3.6302902986e-314,0.0,-1.2760026214311917e-173,0.0,0.06781196527228422,-0.0031375651073522947,0.06781196527227894,-0.0031375651073510917
167.0,0.06666058880944464,-0.002688168639151592,2.0,4.014205561838478e-187,0.0,2.196719670421467e-185,0.0,5.825458569975711e-188,0.0,1.1862536967e-314,0.0,0.0,0.0,7.946160284e-314,0.0,-2.801938355129422e-186,0.0,0.06666058880943357,-0.002688168639148255,0.06666058880944464,-0.002688168639151592
168.0,0.06543255089819629,-0.002255443269452216,2.0,4.632859764320175e-201,0.0,-3.2615332740814026e-198,0.0,7.867588635479438e-201,0.0,-2.8136233495e-314,0.0,0.0,0.0,-2.249162686e-314,0.0,-4.30988325503614e-199,0.0,0.06543255089819473,-0.002255443269451342,0.06543255089819629,-0.002255443269452216
169.0,0.0641155657210993,-0.0018398368917733057,2.0,-9.22284994568983e-213,0.0,-3.106399092098854e-210,0.0,6.140907251287717e-213,0.0,6.816344837e-314,0.0,0.0,0.0,5.4633507776e-314,0.0,-4.755555340417234e-211,0.0,0.0641155657210985,-0.001839836891772775,0.0641155657210993,-0.0018398368917733057
170.0,0.06269348431274094,-0.0014419034762240372,2.0,-6.310596320346439e-226,0.0,-1.706271796099064e-223,0.0,1.9383812012075368e-225,0.0,1.2285932026e-314,0.0,0.0,0.0,4.4733073294e-314,0.0,-9.161000500997301e-224,0.0,0.06269348431274094,-0.0014419034762240372,0.06269348431273929,-0.0014419034762236992
